yil,ay,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
2015,ocak,1624,5046,6670
2015,subat,2692,2065,4757
2015,mart,9575,23304,32879
2015,nisan,12221,22665,34886
2015,mayis,12291,83752,96043
2015,haziran,4716,8062,12778
2015,temmuz,4483,6599,11082
2015,agustos,4986,18607,23593
2015,eylul,1084,7896,8980
2015,ekim,5303,8844,14147
2015,kasim,6952,13617,20569
2015,aralik,7218,893,8111
2016,ocak,5244,12137,17381
2016,subat,3522,9446,12968
2016,mart,9306,16181,25487
2016,nisan,7003,15557,22560
2016,mayis,5184,94278,99462
2016,haziran,1736,4885,6621
2016,temmuz,25,7617,7642
2016,agustos,3548,95930,99478
2016,eylul,1097,4314,5411
2016,ekim,5711,7677,13388
2016,kasim,5075,12221,17296
2016,aralik,6415,4896,11311
2017,ocak,1562,5019,6581
2017,subat,4495,6372,10867
2017,mart,11942,6439,18381
2017,nisan,1126,11693,12819
2017,mayis,8902,14732,23634
2017,haziran,6450,3783,10233
2017,temmuz,2674,11769,14443
2017,agustos,2812,12002,14814
2017,eylul,2257,404,2661
2017,ekim,5503,130029,135532
2017,kasim,9548,4889,14437
2017,aralik,12003,2063,14066
2018,ocak,4683,7096,11779
2018,subat,4387,5621,10008
2018,mart,10171,6029,16200
2018,nisan,12302,10129,22431
2018,mayis,10445,934,11379
2018,haziran,7140,28,7168
2018,temmuz,2705,11938,14643
2018,agustos,1741,12956,14697
2018,eylul,1293,5852,7145
2018,ekim,6918,149247,156165
2018,kasim,10202,6451,16653
2018,aralik,10226,5693,15919
2019,ocak,5731,7164,12895
2019,subat,7507,4755,12262
2019,mart,1084,7948,9032
2019,nisan,919,14784,15703
2019,mayis,8349,6692,15041
2019,haziran,4163,11887,16050
2019,temmuz,3525,12738,16263
2019,agustos,3361,14618,17979
2019,eylul,2167,7166,9333
2019,ekim,10447,162682,173129
2019,kasim,8269,11025,19294
2019,aralik,8623,9928,18551
2020,ocak,7384,1525,8909
2020,subat,9942,5221,15163
2020,mart,6199,241,6440
2020,nisan,0,0,0
2020,mayis,0,0,0
2020,haziran,0,6560,6560
2020,temmuz,1620,3044,4664
2020,agustos,1352,3277,4629
2020,eylul,220,1952,2172
2020,ekim,1540,304,1844
2020,kasim,600,2274,2874
2020,aralik,0,5820,5820
2021,ocak,0,7800,7800
2021,subat,0,1812,1812
